threshold,precision,recall,f1,accuracy,tp,fp,fn,tn,gap
0.05,0.1141,0.6016,0.1918,0.9437,1617,12560,1071,226827,0.48750000000000004
0.1,0.1473,0.4632,0.2235,0.9643,1245,7207,1443,232180,0.3159
0.15,0.1711,0.3683,0.2337,0.9732,990,4795,1698,234592,0.19720000000000001
0.2,0.1805,0.3162,0.2298,0.9765,850,3860,1838,235527,0.1357
0.25,0.1805,0.2582,0.2125,0.9787,694,3151,1994,236236,0.07769999999999999
0.3,0.1817,0.2169,0.1977,0.9805,583,2626,2105,236761,0.03520000000000001
0.35,0.1647,0.1652,0.165,0.9814,444,2251,2244,237136,0.0005000000000000004
0.4,0.1669,0.1414,0.1531,0.9826,380,1897,2308,237490,0.025499999999999995
0.45,0.3269,0.1079,0.1622,0.9876,290,597,2398,238790,0.21900000000000003
0.5,0.321,0.0807,0.129,0.9879,217,459,2471,238928,0.2403
0.55,0.3132,0.0599,0.1006,0.9881,161,353,2527,239034,0.25329999999999997
0.6,0.2854,0.0428,0.0744,0.9882,115,288,2573,239099,0.24259999999999998
0.65,0.2267,0.0272,0.0485,0.9882,73,249,2615,239138,0.1995
0.7,0.2227,0.0182,0.0337,0.9884,49,171,2639,239216,0.20450000000000002
